tahun,bulan,jenis_kelamin,jumlah_klien,yearmonth
2020,January,Perempuan,34,2020-01
2020,January,Anak Perempuan,47,2020-01
2020,January,Anak Laki-laki,21,2020-01
2020,February,Perempuan,39,2020-02
2020,February,Anak Perempuan,41,2020-02
2020,February,Anak Laki-laki,10,2020-02
2020,March,Perempuan,61,2020-03
2020,March,Anak Perempuan,45,2020-03
2020,March,Anak Laki-laki,13,2020-03
2020,April,Perempuan,27,2020-04
2020,April,Anak Perempuan,15,2020-04
2020,April,Anak Laki-laki,12,2020-04
2020,May,Perempuan,24,2020-05
2020,May,Anak Perempuan,20,2020-05
2020,May,Anak Laki-laki,1,2020-05
2020,June,Perempuan,72,2020-06
2020,June,Anak Perempuan,43,2020-06
2020,June,Anak Laki-laki,16,2020-06
2020,July,Perempuan,37,2020-07
2020,July,Anak Perempuan,46,2020-07
2020,July,Anak Laki-laki,8,2020-07
2020,August,Perempuan,40,2020-08
2020,August,Anak Perempuan,32,2020-08
2020,August,Anak Laki-laki,6,2020-08
2020,September,Perempuan,36,2020-09
2020,September,Anak Perempuan,19,2020-09
2020,September,Anak Laki-laki,4,2020-09
2020,October,Perempuan,24,2020-10
2020,October,Anak Perempuan,13,2020-10
2020,October,Anak Laki-laki,7,2020-10
2020,November,Perempuan,31,2020-11
2020,November,Anak Perempuan,34,2020-11
2020,November,Anak Laki-laki,7,2020-11
2020,December,Perempuan,15,2020-12
2020,December,Anak Perempuan,18,2020-12
2020,December,Anak Laki-laki,3,2020-12
