tahun,bulan,jumlah_korban_kekerasan_thd_anak_berdasarkan_klien_anak_per_wilayah,jumlah_korban_kekerasan_thd_perempuan_berdasarkan_klien_perempuan_per_wilayah,jumlah_korban_kekerasan_thd_perempuan_dan_anak_berdasarkan_tempat_kejadian_perkara_di_kabupaten.kota,yearmonth,kabupaten_kota
2020,January,5,5,10,2020-01,Jakarta Pusat
2020,January,20,8,28,2020-01,Jakarta Utara
2020,January,11,4,15,2020-01,Jakarta Barat
2020,January,9,5,14,2020-01,Jakarta Selatan
2020,January,23,12,35,2020-01,Jakarta Timur
2020,January,0,0,0,2020-01,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,February,2,3,5,2020-02,Jakarta Pusat
2020,February,22,8,30,2020-02,Jakarta Utara
2020,February,10,7,17,2020-02,Jakarta Barat
2020,February,8,8,16,2020-02,Jakarta Selatan
2020,February,5,12,17,2020-02,Jakarta Timur
2020,February,0,0,0,2020-02,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,March,6,7,13,2020-03,Jakarta Pusat
2020,March,12,31,43,2020-03,Jakarta Utara
2020,March,15,2,17,2020-03,Jakarta Barat
2020,March,6,9,15,2020-03,Jakarta Selatan
2020,March,23,12,35,2020-03,Jakarta Timur
2020,March,0,0,0,2020-03,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,April,1,3,4,2020-04,Jakarta Pusat
2020,April,1,4,5,2020-04,Jakarta Utara
2020,April,9,3,12,2020-04,Jakarta Barat
2020,April,7,6,13,2020-04,Jakarta Selatan
2020,April,9,10,19,2020-04,Jakarta Timur
2020,April,0,1,1,2020-04,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,May,2,5,7,2020-05,Jakarta Pusat
2020,May,1,4,5,2020-05,Jakarta Utara
2020,May,5,4,9,2020-05,Jakarta Barat
2020,May,5,7,12,2020-05,Jakarta Selatan
2020,May,8,4,12,2020-05,Jakarta Timur
2020,May,0,0,0,2020-05,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,June,2,6,8,2020-06,Jakarta Pusat
2020,June,16,35,51,2020-06,Jakarta Utara
2020,June,17,11,28,2020-06,Jakarta Barat
2020,June,8,5,13,2020-06,Jakarta Selatan
2020,June,16,15,31,2020-06,Jakarta Timur
2020,June,0,0,0,2020-06,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,July,8,2,10,2020-07,Jakarta Pusat
2020,July,6,2,8,2020-07,Jakarta Utara
2020,July,2,12,14,2020-07,Jakarta Barat
2020,July,16,9,25,2020-07,Jakarta Selatan
2020,July,22,12,34,2020-07,Jakarta Timur
2020,July,0,0,0,2020-07,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,August,5,2,7,2020-08,Jakarta Pusat
2020,August,1,8,9,2020-08,Jakarta Utara
2020,August,6,7,13,2020-08,Jakarta Barat
2020,August,11,8,19,2020-08,Jakarta Selatan
2020,August,15,15,30,2020-08,Jakarta Timur
2020,August,0,0,0,2020-08,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,September,0,7,7,2020-09,Jakarta Pusat
2020,September,1,2,3,2020-09,Jakarta Utara
2020,September,5,5,10,2020-09,Jakarta Barat
2020,September,13,7,20,2020-09,Jakarta Selatan
2020,September,4,15,19,2020-09,Jakarta Timur
2020,September,0,0,0,2020-09,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,October,2,2,4,2020-10,Jakarta Pusat
2020,October,2,3,5,2020-10,Jakarta Utara
2020,October,7,6,13,2020-10,Jakarta Barat
2020,October,5,5,10,2020-10,Jakarta Selatan
2020,October,4,8,12,2020-10,Jakarta Timur
2020,October,0,0,0,2020-10,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,November,1,2,3,2020-11,Jakarta Pusat
2020,November,7,7,14,2020-11,Jakarta Utara
2020,November,12,8,20,2020-11,Jakarta Barat
2020,November,12,9,21,2020-11,Jakarta Selatan
2020,November,9,5,14,2020-11,Jakarta Timur
2020,November,0,0,0,2020-11,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
2020,December,3,4,7,2020-12,Jakarta Pusat
2020,December,12,1,13,2020-12,Jakarta Utara
2020,December,10,6,16,2020-12,Jakarta Barat
2020,December,6,7,13,2020-12,Jakarta Selatan
2020,December,4,10,14,2020-12,Jakarta Timur
2020,December,0,0,0,2020-12,Klien Luar Prov. DKI tetapi TKP di Prov. DKI Jakarta
